parent_id,alumn_id
59715294116,"['19750112411', '16357899491']"
49530303194,"['19750112411', '16357899491']"
59451633340,['16424349406']
25730935977,['16424349406']
83655984912,['16210839454']
53893147740,['16210839454']
84406198547,['16195629456']
28357293194,['16195629456']
63584774265,['16402989405']
51938109040,['15901349412']
70754744232,"['20351092053', '16422859405']"
16491321142,"['20351092053', '16422859405']"
66720966308,"['19221252288', '16431729409']"
56869124384,"['19221252288', '16431729409']"
4094842897,['21632673095']
64058057522,['21632673095']
90374848222,"['17220970591', '16834789099']"
30979062786,['16208739459']
67836440658,['16208739459']
1112448399,['16419479409']
72772577856,"['18332631327', '17180340580']"
99511488219,"['18332631327', '17180340580']"
85731033902,"['21641743005', '21234933735']"
74134263876,['21234933735']
81566344468,['16387169494']
7393200059,['16387169494']
65012867501,['16459169419']
44813906195,['16459169419']
44901931135,['16444719409']
7236843636,['16444719409']
1463127844,['20318642988']
77499714859,"['19621112353', '15998959426']"
40006796006,"['19621112353', '15998959426']"
64511573926,['18463451499']
96781542280,['18463451499']
45137922046,['16914320270']
9931824996,['15079658403']
37537465816,['15079658403']
41319647858,['21509933964']
96488247222,['21509933964']
64073734646,"['17078990556', '14896658475']"
58758149468,"['17078990556', '14896658475']"
67220123557,['16852659192']
24772707062,['16852659192']
20880026334,['15610838726']
29262378494,['15610838726']
73129788992,['15338388458']
96197300097,['15338388458']
61163019953,['20192132920']
41513223142,['22507444753']
46389800075,['22507444753']
34351184010,"['18783761111', '15047648495']"
1799724824,"['18783761111', '15047648495']"
20101282053,"['17995201355', '15297088444']"
94671131035,"['17995201355', '15297088444']"
87689118202,['15277858440']
78363544286,['15277858440']
66020782684,['14807198462']
71228999949,['15014498498']
1056748526,['15014498498']
35132287062,"['19578092342', '15599358735']"
42700750561,"['19578092342', '15599358735']"
55746057827,"['20266962917', '15141858436']"
9672502575,"['20266962917', '15141858436']"
61122523645,['16832809081']
71100188759,['16832809081']
61420632707,['15406568464']
42508318213,['15406568464']
78127078260,['15773318240']
62939838552,['15773318240']
30495908564,"['18031481362', '15007488493']"
11595027975,"['18031481362', '15007488493']"
18854085012,['15276588440']
50858050088,['15276588440']
69977306229,"['18471951429', '15017068495']"
87491825824,"['18471951429', '15017068495']"
54995393844,"['18757981162', '15086468403']"
77171777976,"['18757981162', '15086468403']"
6234008330,['18664671953']
5868393343,['18664671953']
87641586211,['14883958479']
78053143709,['14883958479']
89208974128,['18665311956']
41735609658,['14889808474']
60257586341,['14969198485']
92852214366,['14969198485']
9238505448,['14960098488']
47260799884,['14960098488']
87910838851,['14885788471']
11292268580,['14885788471']
45914027147,"['18784121111', '15030048498']"
6822445326,"['18784121111', '15030048498']"
66637057277,['15420158461']
92046684893,['15420158461']
34745208396,['15084008400']
7404428019,['15084008400']
72023281434,['14893838473']
77062902897,['14893838473']
56196363061,"['19226032297', '15005188496']"
77275760340,"['19226032297', '15005188496']"
5064754897,['14903408484']
40650811920,['14903408484']
15908598633,"['17971041359', '15060538405']"
67630169057,"['17971041359', '15060538405']"
34088030573,['15356488459']
4664259038,['15356488459']
12982035051,['14756758430']
65120186526,['14756758430']
95950060710,['14888918471']
97173777163,['14888918471']
73376021825,['15322548454']
60997687658,['15322548454']
91471049379,"['19248732214', '17167970588', '13957497318']"
11644844012,"['19248732214', '17167970588', '13957497318']"
87286135832,['16919580218']
19608737441,['16919580218']
93848983827,['14308727498']
10154251326,['14308727498']
73255842795,['13943717318']
4661045780,['13943717318']
44133653120,['13944897319']
2016498254,['13944897319']
16474240765,['13724197372']
40169965485,['13724197372']
6548807593,['13710677379']
3810281933,['13710677379']
27243583178,"['19280312266', '13847497399']"
13695718504,"['19280312266', '13847497399']"
91624644157,['14032017433']
67107491696,['14032017433']
21614376584,['14095677441']
23176632129,['14095677441']
23601340400,['15986519429']
31987675669,['15986519429']
1140213052,['14151727457']
16441795077,['14151727457']
71798763727,['14105427448']
25555261427,['14105427448']
20489338124,['14209757467']
39017632341,['14209757467']
16639071405,"['20537152168', '17165860582', '13813887393']"
